condition,id,unit,view,axis,value_at_zero,measured_secant_5deg,measured_secant_10deg,measured_secant_10deg_absolute,measured_secant_20deg,measured_secant_30deg,lsq_slope_through_origin,max_abs_deviation_30deg,apriori_sensitivity,apriori_source,measured_over_apriori,deviation_at_plus10,deviation_at_minus10,asymmetric_in_sign
3d,face_height_sellion_menton,mm,frontal,roll,120.01666550941998,2.3681468994131666e-17,0.0,0.0,0.0,0.0,2.1859817533044615e-18,1.1840734497065834e-16,0.0,"cos(pitch), first order",,0.0,0.0,False
3d,philtrum_length,mm,frontal,yaw,16.15549442140351,0.0,0.0,0.0,1.0995372800518286e-17,0.0,1.4886043176086294e-18,2.199074560103657e-16,0.0,"cos(pitch), first order",,0.0,0.0,False
3d,philtrum_length,mm,frontal,pitch,16.15549442140351,8.796298240414628e-17,1.0995372800518286e-17,1.7763568394002506e-16,0.0,1.0995372800518286e-17,1.468305167823057e-17,8.796298240414628e-16,0.001519224698779198,"cos(pitch), first order",7.23748949668461e-15,2.199074560103657e-16,0.0,False
3d,philtrum_length,mm,frontal,roll,16.15549442140351,1.3194447360621941e-16,2.199074560103657e-17,3.552713678800501e-16,0.0,0.0,4.330485287588739e-18,6.597223680310971e-16,0.0,"cos(pitch), first order",,2.199074560103657e-16,2.199074560103657e-16,False
3d,upper_face_height,mm,frontal,yaw,86.37129152675674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"cos(pitch), first order",,0.0,0.0,False
3d,upper_face_height,mm,frontal,pitch,86.37129152675674,0.0,0.0,0.0,0.0,2.742202581436769e-18,1.6200089096487987e-18,1.6453215488620614e-16,0.001519224698779198,"cos(pitch), first order",0.0,0.0,0.0,False
3d,upper_face_height,mm,frontal,roll,86.37129152675674,3.2906430977241225e-17,0.0,0.0,8.226607744310306e-18,5.484405162873538e-18,2.9362661487384483e-18,1.6453215488620614e-16,0.0,"cos(pitch), first order",,0.0,0.0,False
3d,middle_third_height,mm,frontal,yaw,71.02816342831905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"cos(pitch), first order",,0.0,0.0,False
3d,middle_third_height,mm,frontal,pitch,71.02816342831905,0.0,1.0003676027427813e-17,7.105427357601002e-16,5.001838013713907e-18,0.0,2.0930768303541274e-18,2.0007352054855627e-16,0.001519224698779198,"cos(pitch), first order",6.584724455484734e-15,0.0,2.0007352054855627e-16,False
3d,middle_third_height,mm,frontal,roll,71.02816342831905,0.0,2.0007352054855627e-17,1.4210854715202005e-15,1.0003676027427813e-17,0.0,2.2161989968455466e-18,2.0007352054855627e-16,0.0,"cos(pitch), first order",,-2.0007352054855627e-16,-2.0007352054855627e-16,False
3d,lower_third_height,mm,frontal,yaw,68.06614430096654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"cos(pitch), first order",,0.0,0.0,False
3d,lower_third_height,mm,frontal,pitch,68.06614430096654,0.0,0.0,0.0,0.0,0.0,1.22056043872654e-18,2.0878007504532923e-16,0.001519224698779198,"cos(pitch), first order",0.0,0.0,0.0,False
3d,lower_third_height,mm,frontal,roll,68.06614430096654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"cos(pitch), first order",,0.0,0.0,False
3d,palpebral_fissure_width_l,mm,frontal,yaw,30.78046844855532,0.0,2.3084207992079776e-17,7.105427357601002e-16,2.885525999009972e-18,7.694735997359925e-18,7.351432391323867e-18,3.4626311988119667e-16,0.001519224698779198,"cos(yaw), first order",1.5194729265940407e-14,-3.4626311988119667e-16,1.1542103996039888e-16,False
3d,palpebral_fissure_width_l,mm,frontal,pitch,30.78046844855532,1.1542103996039888e-17,5.771051998019944e-18,1.7763568394002506e-16,0.0,1.9236839993399812e-18,2.0953358023580104e-18,1.1542103996039888e-16,0.0,"cos(yaw), first order",,0.0,-1.1542103996039888e-16,False
3d,palpebral_fissure_width_l,mm,frontal,roll,30.78046844855532,0.0,1.1542103996039888e-17,3.552713678800501e-16,0.0,3.8473679986799625e-18,4.545813266132633e-18,2.3084207992079776e-16,0.0,"cos(yaw), first order",,0.0,-2.3084207992079776e-16,False
3d,palpebral_fissure_height_l,mm,frontal,yaw,10.599999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"cos(pitch), first order",,0.0,0.0,False
3d,palpebral_fissure_height_l,mm,frontal,pitch,10.599999999999998,0.0,1.6758083390568403e-17,1.7763568394002506e-16,8.379041695284202e-18,5.5860277968561346e-18,1.1292370038567632e-17,6.703233356227362e-16,0.001519224698779198,"cos(pitch), first order",1.103068124421271e-14,-1.6758083390568404e-16,-1.6758083390568404e-16,False
3d,palpebral_fissure_height_l,mm,frontal,roll,10.599999999999998,5.027425017170521e-17,1.6758083390568403e-17,1.7763568394002506e-16,8.379041695284202e-18,2.7930138984280673e-18,7.115740024302893e-18,5.027425017170521e-16,0.0,"cos(pitch), first order",,-1.6758083390568404e-16,1.6758083390568404e-16,False
3d,canthal_tilt_l,deg,frontal,yaw,4.9999999999999964,8.881784197001253e-17,1.3322676295501878e-16,1.3322676295501878e-16,4.4408920985006264e-17,0.0,2.1042996405202968e-17,1.7763568394002505e-15,0.05,Vaca et al. 2022 pitch sweep; roll cancels against the interpupillary axis,2.6645352591003753e-15,1.7763568394002505e-15,-8.881784197001252e-16,False
3d,canthal_tilt_l,deg,frontal,pitch,4.9999999999999964,0.34169477634922757,0.3401601867041898,0.3401601867041898,0.3341067926080237,0.3243067862182211,0.33050999829674105,10.520285284008388,0.27,Vaca et al. 2022 pitch sweep; roll cancels against the interpupillary axis,1.259852543348851,3.3086379721166264,-3.4945657619671704,False
3d,canthal_tilt_l,deg,frontal,roll,4.9999999999999964,3.552713678800501e-16,3.9968028886505636e-16,3.9968028886505636e-16,4.4408920985006264e-17,1.3322676295501878e-16,1.595988298784225e-16,1.3322676295501878e-14,0.01,Vaca et al. 2022 pitch sweep; roll cancels against the interpupillary axis,3.9968028886505635e-14,1.7763568394002505e-15,6.217248937900877e-15,False
3d,eye_aspect_ratio_l,ratio,frontal,yaw,0.3443742260685934,0.0,2.4179140174764833e-17,8.326672684688674e-18,0.0,1.0746284522117705e-17,9.57245959739408e-18,4.835828034952967e-16,0.0001519224698779198,cosine cancels between same-plane terms,1.591544700016689e-13,4.835828034952967e-16,0.0,False
3d,eye_aspect_ratio_l,ratio,frontal,pitch,0.3443742260685934,1.6119426783176556e-17,8.059713391588278e-18,2.7755575615628915e-18,8.059713391588278e-18,2.6865711305294262e-18,1.0862013740048204e-17,8.059713391588278e-16,0.0,cosine cancels between same-plane terms,,-1.6119426783176557e-16,0.0,False
3d,eye_aspect_ratio_l,ratio,frontal,roll,0.3443742260685934,4.835828034952967e-17,3.223885356635311e-17,1.1102230246251566e-17,8.059713391588278e-18,8.059713391588278e-18,1.2697148481517535e-17,6.447770713270623e-16,0.0,cosine cancels between same-plane terms,,-1.6119426783176557e-16,4.835828034952967e-16,False
3d,palpebral_fissure_width_r,mm,frontal,yaw,30.826781264474047,1.1524763640811188e-17,1.7287145461216784e-17,5.329070518200751e-16,5.762381820405594e-18,1.9207939401351983e-18,5.070896001956923e-18,2.304952728162238e-16,0.001519224698779198,"cos(yaw), first order",1.1378926023983286e-14,1.152476364081119e-16,-2.304952728162238e-16,False
3d,palpebral_fissure_width_r,mm,frontal,pitch,30.826781264474047,1.1524763640811188e-17,5.762381820405594e-18,1.7763568394002506e-16,2.881190910202797e-18,0.0,2.517717595377213e-18,1.152476364081119e-16,0.0,"cos(yaw), first order",,0.0,1.152476364081119e-16,False
3d,palpebral_fissure_width_r,mm,frontal,roll,30.826781264474047,2.3049527281622377e-17,5.762381820405594e-18,1.7763568394002506e-16,8.643572730608392e-18,0.0,2.3049527281622374e-18,2.304952728162238e-16,0.0,"cos(yaw), first order",,0.0,-1.152476364081119e-16,False
3d,palpebral_fissure_height_r,mm,frontal,yaw,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"cos(pitch), first order",,0.0,0.0,False
3d,palpebral_fissure_height_r,mm,frontal,pitch,11.0,3.229739708000455e-17,0.0,0.0,8.074349270001138e-18,8.074349270001138e-18,1.2223322587201722e-17,8.074349270001138e-16,0.001519224698779198,"cos(pitch), first order",0.0,0.0,0.0,False
3d,palpebral_fissure_height_r,mm,frontal,roll,11.0,3.229739708000455e-17,0.0,0.0,8.074349270001138e-18,5.382899513334092e-18,7.055739054400995e-18,4.844609562000683e-16,0.0,"cos(pitch), first order",,0.0,0.0,False
3d,canthal_tilt_r,deg,frontal,yaw,5.999999999999999,8.881784197001253e-17,1.3322676295501878e-16,1.3322676295501878e-16,6.661338147750939e-17,0.0,2.3502567413603312e-17,1.7763568394002505e-15,0.05,Vaca et al. 2022 pitch sweep; roll cancels against the interpupillary axis,2.6645352591003753e-15,-8.881784197001252e-16,1.7763568394002505e-15,False
3d,canthal_tilt_r,deg,frontal,pitch,5.999999999999999,0.34055847989786736,0.33905923373256314,0.33905923373256314,0.3331376139388483,0.32352665072943537,0.3296097299301042,10.653095821987918,0.27,Vaca et al. 2022 pitch sweep; roll cancels against the interpupillary axis,1.2557749397502338,3.279345597241414,-3.5018390774098487,False
3d,canthal_tilt_r,deg,frontal,roll,5.999999999999999,8.881784197001252e-16,1.3322676295501878e-16,1.3322676295501878e-16,1.7763568394002506e-16,2.516505522483688e-16,2.1152310672242983e-16,1.3322676295501878e-14,0.01,Vaca et al. 2022 pitch sweep; roll cancels against the interpupillary axis,1.3322676295501878e-14,1.7763568394002505e-15,-8.881784197001252e-16,False
3d,eye_aspect_ratio_r,ratio,frontal,yaw,0.3568325835132459,1.5556637424955673e-17,1.5556637424955673e-17,5.551115123125783e-18,7.778318712477837e-18,2.592772904159279e-18,6.174788393290098e-18,3.111327484991135e-16,0.0001519224698779198,cosine cancels between same-plane terms,1.0239852891712797e-13,-1.5556637424955674e-16,1.5556637424955674e-16,False
3d,eye_aspect_ratio_r,ratio,frontal,pitch,0.3568325835132459,1.5556637424955673e-17,7.778318712477837e-18,2.7755575615628915e-18,1.1667478068716754e-17,7.778318712477837e-18,1.0578513448969858e-17,9.333982454973404e-16,0.0,cosine cancels between same-plane terms,,0.0,-1.5556637424955674e-16,False
3d,eye_aspect_ratio_r,ratio,frontal,roll,0.3568325835132459,3.1113274849911346e-17,7.778318712477837e-18,2.7755575615628915e-18,1.1667478068716754e-17,5.185545808318558e-18,7.75438542413175e-18,4.666991227486702e-16,0.0,cosine cancels between same-plane terms,,0.0,1.5556637424955674e-16,False
3d,intercanthal_biocular_ratio,ratio,frontal,yaw,0.3555498279718759,0.0,0.0,0.0,0.0,5.204254262372922e-18,4.323534310279042e-18,1.5612762787118765e-16,0.0001519224698779198,cosine cancels between same-plane terms,0.0,0.0,0.0,False
3d,intercanthal_biocular_ratio,ratio,frontal,pitch,0.3555498279718759,0.0,0.0,0.0,0.0,5.204254262372922e-18,2.4019635057105792e-18,1.5612762787118765e-16,0.0,cosine cancels between same-plane terms,,0.0,0.0,False
3d,intercanthal_biocular_ratio,ratio,frontal,roll,0.3555498279718759,3.122552557423753e-17,1.5612762787118765e-17,5.551115123125783e-18,3.903190696779691e-18,5.204254262372922e-18,5.6205946033627546e-18,3.122552557423753e-16,0.0,cosine cancels between same-plane terms,,0.0,3.122552557423753e-16,False
3d,nose_mouth_width_ratio,ratio,frontal,yaw,0.6537687893361693,0.0,0.0,0.0,8.49094544382018e-18,0.0,3.866645925185805e-18,1.698189088764036e-16,0.0001519224698779198,cosine cancels between same-plane terms,0.0,0.0,0.0,False
3d,nose_mouth_width_ratio,ratio,frontal,pitch,0.6537687893361693,3.396378177528072e-17,0.0,0.0,0.0,0.0,3.4486301494900428e-18,1.698189088764036e-16,0.0,cosine cancels between same-plane terms,,0.0,0.0,False
3d,nose_mouth_width_ratio,ratio,frontal,roll,0.6537687893361693,3.396378177528072e-17,8.49094544382018e-18,5.551115123125783e-18,4.24547272191009e-18,0.0,4.336913672843538e-18,1.698189088764036e-16,0.0,cosine cancels between same-plane terms,,0.0,-1.698189088764036e-16,False
3d,eye_spacing_ratio,ratio,frontal,yaw,0.9411764705882353,0.0,2.3592239273284576e-17,2.2204460492503132e-17,0.0,0.0,1.6696046254939854e-18,2.3592239273284576e-16,0.0001519224698779198,cosine cancels between same-plane terms,1.5529130939118204e-13,-2.3592239273284576e-16,-2.3592239273284576e-16,False
3d,eye_spacing_ratio,ratio,frontal,pitch,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cosine cancels between same-plane terms,,0.0,0.0,False
3d,eye_spacing_ratio,ratio,frontal,roll,0.9411764705882353,0.0,1.1796119636642288e-17,1.1102230246251566e-17,0.0,0.0,1.0162810763876432e-18,1.1796119636642288e-16,0.0,cosine cancels between same-plane terms,,-1.1796119636642288e-16,-1.1796119636642288e-16,False
3d,facial_thirds_ratio,ratio,frontal,yaw,1.043516775597798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001519224698779198,cosine cancels between same-plane terms,0.0,0.0,0.0,False
3d,facial_thirds_ratio,ratio,frontal,pitch,1.043516775597798,0.0,1.0639244625359708e-17,1.1102230246251566e-17,5.319622312679854e-18,0.0,3.470030554732705e-18,2.1278489250719415e-16,0.0,cosine cancels between same-plane terms,,0.0,2.1278489250719415e-16,False
3d,facial_thirds_ratio,ratio,frontal,roll,1.043516775597798,0.0,2.1278489250719416e-17,2.2204460492503132e-17,1.0639244625359708e-17,0.0,2.357001886233535e-18,2.1278489250719415e-16,0.0,cosine cancels between same-plane terms,,-2.1278489250719415e-16,-2.1278489250719415e-16,False
3d,lip_vermilion_ratio,ratio,frontal,yaw,0.5,4.4408920985006264e-17,2.2204460492503132e-17,1.1102230246251566e-17,1.1102230246251566e-17,7.401486830834377e-18,1.0111569701201426e-17,4.440892098500626e-16,0.0001519224698779198,cosine cancels between same-plane terms,1.461565264858184e-13,-2.220446049250313e-16,-2.220446049250313e-16,False
3d,lip_vermilion_ratio,ratio,frontal,pitch,0.5,1.0547118733938987e-15,1.1102230246251565e-16,5.551115123125783e-17,7.771561172376095e-17,6.106226635438361e-17,1.0046664355146417e-16,6.8833827526759706e-15,0.0,cosine cancels between same-plane terms,,-4.440892098500626e-16,-1.7763568394002505e-15,False
3d,lip_vermilion_ratio,ratio,frontal,roll,0.5,7.105427357601002e-16,1.7763568394002506e-16,8.881784197001253e-17,0.0,9.251858538542972e-17,9.025259172491273e-17,3.552713678800501e-15,0.0,cosine cancels between same-plane terms,,1.7763568394002505e-15,1.7763568394002505e-15,False
3d,facial_width_height_ratio,ratio,frontal,yaw,1.6324868773823995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001519224698779198,"cos(yaw) on the width, 1/cos(pitch) on the height",0.0,0.0,0.0,False
3d,facial_width_height_ratio,ratio,frontal,pitch,1.6324868773823995,0.0,0.0,0.0,0.0,2.2669360879342084e-18,1.3392360888719014e-18,1.360161652760525e-16,0.001519224698779198,"cos(yaw) on the width, 1/cos(pitch) on the height",0.0,0.0,0.0,False
3d,facial_width_height_ratio,ratio,frontal,roll,1.6324868773823995,2.72032330552105e-17,0.0,0.0,6.800808263802625e-18,4.533872175868417e-18,2.4273654110803215e-18,1.360161652760525e-16,0.0,"cos(yaw) on the width, 1/cos(pitch) on the height",,0.0,0.0,False
3d,jaw_cheekbone_ratio,ratio,frontal,yaw,0.8297872340425532,0.0,1.3379610809585219e-17,1.1102230246251566e-17,6.689805404792609e-18,0.0,3.3757787273415018e-18,1.337961080958522e-16,0.0001519224698779198,cosine cancels between same-plane terms,8.806867621581363e-14,-1.337961080958522e-16,-1.337961080958522e-16,False
3d,jaw_cheekbone_ratio,ratio,frontal,pitch,0.8297872340425532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,cosine cancels between same-plane terms,,0.0,0.0,False
3d,jaw_cheekbone_ratio,ratio,frontal,roll,0.8297872340425532,0.0,1.3379610809585219e-17,1.1102230246251566e-17,6.689805404792609e-18,0.0,1.8937295299720618e-18,1.337961080958522e-16,0.0,cosine cancels between same-plane terms,,-1.337961080958522e-16,-1.337961080958522e-16,False
3d,ocular_height_asymmetry,deg,frontal,yaw,0.32521472425483294,0.0,0.0,0.0,2.7755575615628915e-18,0.0,3.75767792950053e-19,5.551115123125783e-17,0.01,"measured against the interpupillary axis, so roll cancels exactly; residual is landmark noise in the pupils (evals/ pose sweep)",0.0,0.0,0.0,False
3d,ocular_height_asymmetry,deg,frontal,pitch,0.32521472425483294,0.00024750275639797705,0.0004940638701884992,0.0004940638701884992,0.0009806231894925327,0.001452325173494573,0.001140128622209823,0.0435697552048383,0.01,"measured against the interpupillary axis, so roll cancels exactly; residual is landmark noise in the pupils (evals/ pose sweep)",0.04940638701884992,-0.004940638701884992,-0.004940638701884992,False
3d,ocular_height_asymmetry,deg,frontal,roll,0.32521472425483294,6.938893903907228e-16,2.1649348980190552e-16,2.1649348980190552e-16,1.2906342661267446e-16,1.952142151632567e-16,1.3131376328181852e-16,7.882583474838611e-15,0.01,"measured against the interpupillary axis, so roll cancels exactly; residual is landmark noise in the pupils (evals/ pose sweep)",2.1649348980190553e-14,-4.3298697960381105e-15,0.0,False
3d,mouth_corner_asymmetry,deg,frontal,yaw,0.8814039965821346,2.2204460492503132e-17,1.1102230246251566e-17,1.1102230246251566e-17,5.551115123125783e-18,0.0,3.006142343600424e-18,1.1102230246251565e-16,0.01,"measured against the interpupillary axis, so roll cancels exactly; residual is landmark noise in the pupils (evals/ pose sweep)",1.1102230246251565e-15,-1.1102230246251565e-16,-1.1102230246251565e-16,False
3d,mouth_corner_asymmetry,deg,frontal,pitch,0.8814039965821346,0.0006706964404811888,0.0013388442631937169,0.0013388442631937169,0.0026573761290824087,0.00393568971704639,0.0030896390513310717,0.11807069151139171,0.01,"measured against the interpupillary axis, so roll cancels exactly; residual is landmark noise in the pupils (evals/ pose sweep)",0.1338844263193717,-0.01338844263193717,-0.01338844263193717,False
3d,mouth_corner_asymmetry,deg,frontal,roll,0.8814039965821346,1.587618925213974e-15,1.021405182655144e-15,1.021405182655144e-15,6.106226635438361e-17,4.51490696680897e-16,3.2732790836794615e-16,1.4654943925052066e-14,0.01,"measured against the interpupillary axis, so roll cancels exactly; residual is landmark noise in the pupils (evals/ pose sweep)",1.0214051826551439e-13,-1.1657341758564144e-14,-8.770761894538737e-15,False
3d,canthal_tilt_asymmetry,deg,frontal,yaw,1.0000000000000027,1.7763568394002506e-16,2.6645352591003756e-16,2.6645352591003756e-16,2.2204460492503132e-17,0.0,3.580042245560505e-17,2.6645352591003757e-15,0.01,"measured against the interpupillary axis, so roll cancels exactly; residual is landmark noise in the pupils (evals/ pose sweep)",2.6645352591003757e-14,-2.6645352591003757e-15,2.6645352591003757e-15,False
3d,canthal_tilt_asymmetry,deg,frontal,pitch,1.0000000000000027,0.001136296451360197,0.0018282845158945405,0.0018282845158945405,0.0035844689430939826,0.0052071534214367015,0.004130435563346388,0.17961866730667264,0.01,"measured against the interpupillary axis, so roll cancels exactly; residual is landmark noise in the pupils (evals/ pose sweep)",0.18282845158945404,-0.029292374875212523,-0.007273315442678285,True
3d,canthal_tilt_asymmetry,deg,frontal,roll,1.0000000000000027,8.881784197001252e-16,3.552713678800501e-16,3.552713678800501e-16,1.7763568394002506e-16,3.848773152033876e-16,3.3231537180164687e-16,1.865174681370263e-14,0.01,"measured against the interpupillary axis, so roll cancels exactly; residual is landmark noise in the pupils (evals/ pose sweep)",3.552713678800501e-14,0.0,-7.105427357601002e-15,False
3d,nasofrontal_angle,deg,profile,yaw,121.53479190518829,2.842170943040401e-15,2.842170943040401e-15,2.842170943040401e-15,0.0,0.0,1.7490282726402466e-16,2.842170943040401e-14,0.15,"unmeasured angle, conservative default",1.8947806286936007e-14,2.842170943040401e-14,2.842170943040401e-14,False
3d,nasofrontal_angle,deg,profile,pitch,121.53479190518829,2.842170943040401e-15,0.0,0.0,3.552713678800501e-16,0.0,2.7547195294083885e-16,2.842170943040401e-14,0.15,"unmeasured angle, conservative default",0.0,0.0,0.0,False
3d,nasofrontal_angle,deg,profile,roll,121.53479190518829,0.0,0.0,0.0,0.0,9.473903143468002e-16,2.098833927168296e-16,2.842170943040401e-14,0.05,"unmeasured angle, conservative default",0.0,0.0,0.0,False
3d,nasolabial_angle,deg,profile,yaw,100.66978280449668,0.0,1.4210854715202005e-15,1.4210854715202005e-15,7.105427357601002e-16,4.736951571734001e-16,7.783175813249098e-16,2.842170943040401e-14,0.15,"unmeasured angle, conservative default",9.473903143468004e-15,1.4210854715202004e-14,1.4210854715202004e-14,False
